datetime,volume,close,low,high,open,MA10,MA20
11/10/2020,85552022,354.04,350.51,355.18,353.49,,
11/11/2020,58649048,356.67,355.06,357.56,356.4,,
11/12/2020,68118563,353.21,351.26,356.7182,355.58,,
11/13/2020,62959429,358.1,354.71,358.9,355.27,,
11/16/2020,74541138,362.57,359.59,362.78,360.98,,
11/17/2020,66111009,360.62,358.34,361.92,359.97,,
11/18/2020,70591299,356.28,356.24,361.5,360.91,,
11/19/2020,59940947,357.78,354.15,358.18,355.6,,
11/20/2020,70411890,355.33,355.25,357.72,357.5,,
11/23/2020,63230608,357.46,354.865,358.82,357.28,357.206,
11/24/2020,62415877,363.22,359.29,363.81,360.21,358.12399999999997,
11/25/2020,45330890,362.66,361.48,363.16,363.13,358.723,
11/27/2020,28514072,363.67,362.58,364.18,363.84,359.769,
11/30/2020,83872709,362.06,359.17,363.12,362.83,360.165,
12/01/2020,74504969,366.02,364.93,367.68,365.57,360.51,
12/02/2020,45927000,366.79,364.2,366.96,364.82,361.127,
12/03/2020,62881998,366.69,365.5,368.19,366.68,362.168,
12/04/2020,50749859,369.85,367.22,369.85,367.32,363.375,
12/07/2020,48944269,369.09,367.72,369.62,369.02,364.75100000000003,
12/08/2020,42458859,370.17,367.67,370.78,367.72,366.02200000000005,361.614
12/09/2020,74098312,366.85,365.95,371.05,370.88,366.385,362.2545
12/10/2020,57735353,366.73,364.43,367.86,365.37,366.79200000000003,362.7575
12/11/2020,57698614,366.3,363.26,366.7402,364.9,367.055,363.412
12/14/2020,69216174,364.66,364.47,369.8,368.64,367.315,363.73999999999995
12/15/2020,64071099,369.59,365.92,369.59,367.4,367.672,364.091
12/16/2020,58420517,370.17,368.8676,371.16,369.82,368.01,364.5685
12/17/2020,64119472,372.24,371.05,372.46,371.94,368.565,365.3665
12/18/2020,136542328,369.18,367.02,371.15,370.97,368.498,365.93649999999997
12/21/2020,96386745,367.86,362.03,378.46,364.97,368.375,366.563
12/22/2020,48388462,367.24,366.03,368.3317,368.21,368.082,367.052
12/23/2020,46201402,367.57,367.2172,369.62,368.28,368.154,367.2695
12/24/2020,26457853,369.0,367.45,369.03,368.08,368.381,367.5865
12/28/2020,39000402,372.17,371.07,372.59,371.74,368.968,368.0115
12/29/2020,53680451,371.46,370.83,374.0,373.81,369.648,368.4815
12/30/2020,49455259,371.99,371.57,373.1,372.34,369.88800000000003,368.78000000000003
12/31/2020,78520702,373.88,371.232,374.66,371.78,370.259,369.1345
01/04/2021,110210810,368.79,364.82,375.45,375.31,369.914,369.2395
01/05/2021,66426229,371.33,368.05,372.5,368.1,370.129,369.3135
01/06/2021,107997675,373.55,369.12,376.98,369.71,370.698,369.53650000000005
01/07/2021,68766812,379.1,375.91,379.9,376.1,371.88399999999996,369.98300000000006
01/08/2021,71677208,381.26,377.1,381.49,380.59,373.25300000000004,370.70349999999996
01/11/2021,51176719,378.69,377.7189,380.58,377.85,374.22200000000004,371.30150000000003
01/12/2021,52547716,378.77,376.36,379.86,378.89,374.882,371.925
01/13/2021,45303619,379.79,377.85,380.86,378.69,375.71500000000003,372.6815
01/14/2021,49989113,378.46,378.1,381.13,380.59,376.362,373.125
01/15/2021,107159962,375.7,373.7,377.58,376.72,376.544,373.40150000000006
01/19/2021,51233300,378.65,376.75,379.23,378.34,377.53000000000003,373.72200000000004
01/20/2021,61836062,383.89,380.69,384.79,381.11,378.786,374.4575
01/21/2021,47955809,384.24,383.25,384.95,384.49,379.855,375.2765
01/22/2021,52136931,382.88,381.835,384.1256,382.25,380.233,376.0585
01/25/2021,70401971,384.39,378.46,384.77,383.67,380.546,376.8995
01/26/2021,42665281,383.79,383.54,385.85,385.41,381.056,377.639
01/27/2021,123351078,374.41,372.01,380.32,380.22,380.62,377.75100000000003
01/28/2021,94198104,377.63,375.89,381.93,376.36,380.404,378.05949999999996
01/29/2021,126765121,370.07,368.27,376.67,375.63,379.56499999999994,377.9635
02/01/2021,75817597,376.23,370.376,377.34,373.72,379.618,378.081
02/02/2021,64450662,381.55,376.3181,383.22,379.65,379.908,378.719
02/03/2021,52427090,381.85,380.48,383.7,382.435,379.704,379.245
02/04/2021,47142555,386.19,381.9655,386.24,382.96,379.899,379.877
02/05/2021,48669773,387.71,386.1444,388.47,388.2,380.382,380.3075
02/08/2021,38365185,390.51,388.35,390.56,389.27,380.994,380.77000000000004
02/09/2021,35551059,390.25,389.17,390.89,389.61,381.64,381.348
02/10/2021,59154370,390.08,387.5,392.28,392.12,383.207,381.9135
02/11/2021,42913288,390.71,388.1,391.69,391.24,384.515,382.45950000000005
02/12/2021,50593270,392.64,389.77,392.9,389.85,386.77200000000005,383.1685
02/16/2021,50972366,392.3,391.53,394.17,393.96,388.379,383.99850000000004
02/17/2021,52806681,392.39,389.33,392.66,390.42,389.463,384.6855
02/18/2021,59712773,390.72,387.74,391.515,389.59,390.35,385.027
02/19/2021,83240971,390.03,389.55,392.38,392.07,390.73400000000004,385.3165
02/22/2021,67414170,387.03,386.74,389.62,387.06,390.666,385.524
02/23/2021,107284127,387.5,380.2,388.945,384.66,390.36499999999995,385.6795
02/24/2021,72433946,391.77,385.27,392.23,386.33,390.51699999999994,386.0785
02/25/2021,146670499,382.33,380.7789,391.88,390.41,389.74199999999996,386.4745
02/26/2021,152701639,380.36,378.23,385.58,384.35,388.707,386.611
03/01/2021,105348798,389.58,380.572,390.92,385.59,388.40099999999995,387.5865
03/02/2021,79595332,386.54,386.0,390.07,389.82,387.825,388.102
03/03/2021,119940211,381.42,381.31,386.83,385.79,386.72799999999995,388.0955
03/04/2021,183433020,376.7,371.88,384.0,381.22,385.326,387.83799999999997
03/05/2021,152039624,383.63,372.64,384.76,380.46,384.686,387.71
03/08/2021,123149245,381.72,381.42,387.68,384.66,384.15500000000003,387.4105
03/09/2021,113633556,387.17,381.7299,389.91,385.85,384.122,387.2435
03/10/2021,109899410,389.58,388.1702,391.4,389.69,383.903,387.21
03/11/2021,86245040,393.53,391.74,395.65,392.23,385.023,387.3825
03/12/2021,64653565,394.06,391.2,394.21,392.07,386.393,387.55
03/15/2021,73592302,396.41,392.03,396.685,394.33,387.076,387.73850000000004
03/16/2021,73722506,395.91,395.08,397.83,397.07,388.01300000000003,387.919
03/17/2021,97959265,397.26,393.3,398.12,394.53,389.59700000000004,388.1625
03/18/2021,115349101,391.48,390.75,396.72,394.475,391.07500000000005,388.2005
03/19/2021,113624490,389.48,387.15,391.569,389.88,391.66,388.173
03/22/2021,73778646,392.59,389.97,394.07,390.03,392.74699999999996,388.451
03/23/2021,90686552,389.5,388.66,393.46,391.91,392.97999999999996,388.55100000000004
03/24/2021,97588644,387.52,387.47,392.75,391.0,392.774,388.33849999999995
03/25/2021,116128622,389.7,383.9,390.55,385.98,392.391,388.707
03/26/2021,114409114,395.98,390.29,396.41,390.93,392.583,389.488
03/29/2021,108107626,395.78,392.81,396.75,394.4,392.52,389.798
03/30/2021,76262249,394.73,393.02,395.45,394.42,392.402,390.20750000000004
03/31/2021,112734214,396.33,395.31,398.0,395.34,392.30899999999997,390.95300000000003
04/01/2021,99682876,400.61,398.18,400.67,398.4,393.222,392.1485
04/05/2021,91684764,406.36,403.38,406.94,403.46,394.90999999999997,393.28499999999997
04/06/2021,62020953,406.12,405.4,407.24,405.76,396.26300000000003,394.505
04/07/2021,55836280,406.59,405.45,406.96,405.94,397.97200000000004,395.476
04/08/2021,57863114,408.52,406.93,408.58,407.93,400.072,396.423
04/09/2021,61104559,411.49,408.26,411.67,408.39,402.251,397.321
04/12/2021,56704899,411.64,410.2,411.93,410.85,403.81699999999995,398.2
04/13/2021,56550988,412.86,411.12,413.529,411.53,405.525,399.0225
04/14/2021,61659907,411.45,410.87,413.96,412.83,407.197,399.79949999999997
04/15/2021,60229842,415.87,413.69,416.16,413.74,409.151,400.72999999999996
04/16/2021,82037278,417.26,415.73,417.91,417.25,410.816,402.019
04/19/2021,78498496,415.21,413.79,416.74,416.26,411.701,403.3055
04/20/2021,81851828,412.17,410.59,415.0859,413.91,412.3059999999999,404.2845
04/21/2021,66792983,416.07,411.36,416.29,411.51,413.254,405.61299999999994
04/22/2021,97582788,412.27,411.13,416.78,415.89,413.629,406.8505
04/23/2021,73276195,416.74,412.79,418.25,412.87,414.154,408.2025
04/26/2021,52182392,417.61,416.8111,418.22,417.44,414.75100000000003,409.284
04/27/2021,51303056,417.52,416.3,418.14,417.93,415.217,410.371
04/28/2021,51238854,417.4,416.9,419.01,417.81,415.812,411.5045
04/29/2021,78544329,420.06,416.44,420.72,420.32,416.23099999999994,412.691
04/30/2021,85527030,417.3,416.34,418.54,417.63,416.235,413.5255
05/03/2021,68128289,418.2,417.665,419.84,419.43,416.534,414.1175
05/04/2021,101591166,415.62,411.67,416.6,416.07,416.879,414.5924999999999
05/05/2021,39960661,415.75,414.94,417.63,417.38,416.8469999999999,415.0505
05/06/2021,74321368,419.07,413.675,419.21,415.83,417.52699999999993,415.578
05/07/2021,67733790,422.12,419.16,422.815,419.89,418.06499999999994,416.1095
05/10/2021,81852446,417.94,417.81,422.74,422.5,418.09799999999996,416.42449999999997
05/11/2021,116887975,414.21,410.06,415.27,413.1,417.767,416.492
05/12/2021,134811046,405.41,404.0,412.59,411.23,416.56800000000004,416.18999999999994
05/13/2021,106393963,410.28,407.02,412.35,407.07,415.59,415.91050000000007
05/14/2021,82201629,416.58,413.18,417.49,413.21,415.51800000000003,415.8765
05/17/2021,65129221,415.52,413.36,416.39,415.39,415.25,415.892
05/18/2021,59810238,411.94,411.77,416.06,415.8,414.88199999999995,415.88050000000004
05/19/2021,106467052,410.86,405.33,411.05,406.92,414.39300000000003,415.62
05/20/2021,78022218,415.28,411.67,416.625,411.8,414.01399999999995,415.77049999999997
05/21/2021,76578662,414.94,414.45,418.2,416.87,413.296,415.68050000000005
05/24/2021,51376702,419.17,417.08,420.32,417.34,413.419,415.7585
05/25/2021,57451396,418.24,417.62,420.71,420.33,413.82199999999995,415.79449999999997
05/26/2021,43088618,419.07,417.76,419.61,418.87,415.188,415.878
05/27/2021,56707677,419.29,418.9851,420.72,420.17,416.08900000000006,415.83949999999993
05/28/2021,58520164,420.04,419.79,421.25,420.97,416.43499999999995,415.97649999999993
06/01/2021,54216625,419.67,419.2,422.72,422.57,416.85,416.05
06/02/2021,49097061,420.33,419.29,421.23,420.37,417.689,416.28549999999996
06/03/2021,58138763,418.77,416.28,419.99,417.85,418.48,416.43649999999997
06/04/2021,55938789,422.6,418.8422,422.92,420.75,419.212,416.613
06/07/2021,51555032,422.19,421.19,422.78,422.59,419.937,416.6165
06/08/2021,47134279,422.28,420.32,423.21,423.11,420.24799999999993,416.8335
06/09/2021,48436342,421.65,421.41,423.26,423.18,420.58900000000006,417.20550000000003
06/10/2021,51020147,423.61,421.55,424.63,422.96,421.043,418.1155
06/11/2021,45570828,424.31,422.82,424.43,424.2,421.54499999999996,418.817
06/14/2021,42358478,425.26,423.1,425.37,424.43,422.067,419.25100000000003
06/15/2021,51508508,424.48,423.54,425.46,425.42,422.54799999999994,419.69899999999996
06/16/2021,80386082,422.11,419.92,424.87,424.63,422.726,420.2075
06/17/2021,90949659,421.97,419.32,423.02,421.67,423.046,420.76300000000003
06/18/2021,118676302,414.92,414.7,417.8281,417.09,422.27799999999996,420.745
06/21/2021,72822028,420.86,415.93,421.06,416.8,422.145,421.041
06/22/2021,57700303,423.11,420.08,424.0,420.85,422.22800000000007,421.238
06/23/2021,49445414,422.6,422.51,424.05,423.19,422.32300000000004,421.456
06/24/2021,45110288,425.1,424.62,425.55,424.89,422.47200000000004,421.7575
06/25/2021,58129525,426.61,425.55,427.0943,425.9,422.70200000000006,422.1235
06/28/2021,53159581,427.47,425.89,427.65,427.17,422.92299999999994,422.495
06/29/2021,35970515,427.7,427.13,428.56,427.88,423.245,422.8965
06/30/2021,64827858,428.06,427.18,428.78,427.21,423.84000000000003,423.283
07/01/2021,53441027,430.43,428.8,430.6,428.87,424.686,423.866
07/02/2021,57697668,433.72,430.5218,434.1,431.67,426.566,424.422
07/06/2021,68710419,432.93,430.01,434.01,433.78,427.773,424.959
07/07/2021,63549456,434.46,431.51,434.76,433.66,428.908,425.56800000000004
07/08/2021,97595232,430.92,427.52,431.73,428.78,429.73999999999995,426.03150000000005
07/09/2021,76238584,435.52,430.714,435.84,432.53,430.782,426.62699999999995
07/12/2021,52889585,437.08,434.97,437.35,435.43,431.829,427.2655
07/13/2021,52911312,435.59,435.31,437.84,436.24,432.64099999999996,427.782
07/14/2021,64130352,436.24,434.91,437.92,437.4,433.495,428.37
07/15/2021,55126358,434.75,432.72,435.53,434.81,434.16399999999993,429.00199999999995
07/16/2021,75874662,431.34,430.92,436.06,436.01,434.255,429.4705
07/19/2021,147987000,424.97,421.97,431.4089,426.19,433.38,429.97300000000007
07/20/2021,99608174,431.06,424.83,432.42,425.68,433.19300000000004,430.483
07/21/2021,64724389,434.55,431.0111,434.7,432.34,433.20199999999994,431.055
07/22/2021,47878539,435.46,433.69,435.72,434.74,433.65599999999995,431.698
07/23/2021,63766637,439.94,436.79,440.3,437.52,434.09800000000007,432.43999999999994
07/26/2021,43719187,441.02,439.26,441.03,439.31,434.492,433.16050000000007
07/27/2021,67397137,439.01,435.99,439.94,439.91,434.834,433.7375
07/28/2021,52472360,438.83,437.31,440.3,439.68,435.093,434.29400000000004
07/29/2021,47435342,440.65,439.81,441.8,439.815,435.683,434.9235
07/30/2021,68951202,438.51,437.77,440.06,437.91,436.4,435.32750000000004
08/02/2021,58783297,437.59,437.21,440.93,440.34,437.662,435.521
08/03/2021,58053896,441.15,436.1,441.28,438.44,438.671,435.93199999999996
08/04/2021,46732212,438.98,438.73,441.1243,439.78,439.1139999999999,436.158
08/05/2021,38969659,441.76,439.88,441.85,440.22,439.74399999999997,436.7
08/06/2021,46930008,442.49,441.8,442.94,442.1,439.99899999999997,437.0485
08/09/2021,41222585,442.13,441.31,442.795,442.46,440.11,437.30100000000004
08/10/2021,43339275,442.68,441.88,443.44,442.61,440.477,437.65549999999996
08/11/2021,44034340,443.78,442.62,443.882,443.82,440.97200000000004,438.03249999999997
08/12/2021,38942418,445.11,442.66,445.2572,443.62,441.418,438.5505
08/13/2021,39470251,445.92,445.07,445.94,445.59,442.159,439.2795
08/16/2021,73930864,446.97,442.87,447.11,444.53,443.09700000000004,440.3795
08/17/2021,92673933,444.04,440.85,444.96,444.24,443.38599999999997,441.0285
08/18/2021,89351931,439.18,438.92,444.625,442.96,443.40599999999995,441.25999999999993
08/19/2021,92812246,439.86,436.12,441.14,436.27,443.216,441.48
08/20/2021,72008712,443.36,439.71,443.71,440.23,443.303,441.651
08/23/2021,54973038,447.26,443.4355,448.23,445.16,443.816,441.963
08/24/2021,38744714,447.97,447.42,448.54,447.97,444.34499999999997,442.41099999999994
08/25/2021,40529711,448.91,447.77,449.457,448.17,444.858,442.91499999999996
08/26/2021,57829572,446.26,446.16,448.86,448.61,444.97300000000007,443.1955
08/27/2021,77235113,450.25,447.06,450.65,447.12,445.40600000000006,443.78249999999997
08/30/2021,48357355,452.23,450.71,453.07,450.97,445.9320000000001,444.51449999999994
08/31/2021,59300213,451.56,450.92,452.49,452.13,446.684,445.035
09/01/2021,48721378,451.8,451.545,453.11,452.56,447.946,445.67600000000004
09/02/2021,42830867,453.19,451.91,454.05,453.32,449.279,446.24750000000006
09/03/2021,47234364,453.08,451.55,453.63,451.98,450.25100000000003,446.77700000000004
09/07/2021,51671534,451.46,450.7423,452.81,452.71,450.671,447.2434999999999
09/08/2021,56181907,450.91,448.86,451.67,450.89,450.96500000000003,447.65500000000003
09/09/2021,57970407,448.98,448.72,452.57,450.7,450.97200000000004,447.9150000000001
09/10/2021,89948174,445.44,445.31,451.49,451.04,450.89000000000004,447.93149999999997
09/13/2021,83738649,446.58,444.11,448.92,448.64,450.523,447.96449999999993
09/14/2021,78197140,444.17,443.22,448.34,448.12,449.717,447.8245
09/15/2021,78792222,447.88,443.44,448.41,444.62,449.349,448.0165
09/16/2021,77786735,447.17,444.02,448.36,447.32,448.88599999999997,448.41600000000005
09/17/2021,118425037,441.4,441.02,445.37,444.92,447.707,448.49300000000005
09/20/2021,166445534,434.04,428.86,436.56,434.88,445.803,448.02699999999993
09/21/2021,92526112,433.63,433.07,437.91,436.53,444.02,447.3455
09/22/2021,102350143,437.86,433.747,440.03,436.05,442.71500000000003,446.84000000000003
09/23/2021,76395981,443.18,439.6,444.89,439.85,442.13500000000005,446.5535
09/24/2021,62094837,443.91,441.21,444.67,441.44,441.98199999999997,446.436
09/27/2021,61371108,442.64,441.9,444.05,442.81,441.588,446.05550000000005
09/28/2021,130436306,433.72,432.94,440.04,439.69,440.543,445.13
09/29/2021,82329213,434.45,433.85,437.04,435.19,439.2,444.2745
09/30/2021,140505979,429.14,428.78,436.77,436.02,437.39700000000005,443.1415
10/01/2021,129240106,434.24,427.23,436.0329,430.98,436.68100000000004,442.19399999999996
10/04/2021,128569957,428.64,426.36,433.96,433.0,436.14099999999996,440.9719999999999
10/05/2021,90682520,433.1,429.39,435.49,430.24,436.088,440.054
10/06/2021,113032245,434.9,427.54,435.1199,429.27,435.79200000000003,439.2535
10/07/2021,72437499,438.66,438.2,441.68,438.39,435.34,438.7375
10/08/2021,74557404,437.86,437.19,439.89,439.48,434.735,438.3585
10/11/2021,65233285,434.69,434.62,440.26,437.16,433.93999999999994,437.764
10/12/2021,71181163,433.62,432.78,436.1,435.67,433.93,437.2365000000001
10/13/2021,72973979,435.18,431.54,436.05,434.71,434.003,436.60149999999993
10/14/2021,70236825,442.5,438.58,442.66,439.08,435.33900000000006,436.36799999999994
10/15/2021,66260210,445.87,444.09,446.26,444.75,436.50199999999995,436.5915
10/18/2021,62213228,447.19,443.27,447.55,443.97,438.35699999999997,437.2490000000001
10/19/2021,46996827,450.64,448.27,450.71,448.92,440.11100000000005,438.0995
10/20/2021,49571569,452.41,451.01,452.732,451.13,441.86199999999997,438.82699999999994
10/21/2021,41305438,453.59,451.31,453.829,451.77,443.355,439.3475
10/22/2021,58845088,453.12,451.05,454.67,453.13,444.88100000000003,439.8080000000001
10/25/2021,45214507,455.55,452.39,455.9,454.28,446.967,440.45349999999996
10/26/2021,56075116,455.96,455.56,458.49,457.2,449.201,441.5655
10/27/2021,72437997,453.94,453.86,457.16,456.45,451.07699999999994,442.53999999999996
10/28/2021,51437944,458.32,455.45,458.4,455.46,452.659,443.99899999999997
10/29/2021,70162424,459.25,455.56,459.56,455.87,453.997,445.2495
11/01/2021,48433642,460.04,458.2,460.7021,460.3,455.282,446.81949999999995
11/02/2021,48908417,461.9,460.08,462.23,460.22,456.4080000000001,448.2595
11/03/2021,52509825,464.72,460.83,465.15,461.3,457.63899999999995,449.7505
11/04/2021,52847087,466.91,464.99,467.0,465.36,458.9709999999999,451.1629999999999
11/05/2021,66390563,468.53,466.92,470.65,469.28,460.512,452.6965
11/08/2021,50405194,468.93,468.2031,470.23,469.7,461.85,454.4085
11/09/2021,51149147,467.38,465.88,469.57,469.32,462.992,456.09649999999993
11/10/2021,69429653,463.62,462.04,467.38,465.58,463.9599999999999,457.5185
